time,/cells[0]/CellGroup_1_0[0]/Comp_1_0[0]
0.0,-0.06
0.0001,-0.0611047234957
0.0002,-0.0621386743853
0.0003,-0.0631268875185
0.0004,-0.0640769155111
0.0005,-0.0649866707335
0.0006,-0.0658503281193
0.0007,-0.0666619806188
0.0008,-0.0674174771462
0.0009,-0.0681149220914
0.001,-0.0687545290691
0.0011,-0.0693381739072
0.0012,-0.0698688176178
0.0013,-0.0703500474249
0.0014,-0.0707857576714
0.0015,-0.0711798759178
0.0016,-0.0715361816074
0.0017,-0.0718582555801
0.0018,-0.0721494180193
0.0019,-0.072412716658
0.002,-0.0726508906847
0.0021,-0.0728664461263
0.0022,-0.0730616389219
0.0023,-0.0732384501437
0.0024,-0.0733986816403
0.0025,-0.0735439372021
0.0026,-0.0736756654447
0.0027,-0.0737951725395
0.0028,-0.0739035779649
0.0029,-0.0740019165086
0.003,-0.0740911039273
0.0031,-0.07417198131
0.0032,-0.0742452807238
0.0033,-0.0743116737261
0.0034,-0.074371747886
0.0035,-0.0744260524952
0.0036,-0.074475054049
0.0037,-0.0745191943032
0.0038,-0.0745588658925
0.0039,-0.0745944309793
0.004,-0.0746262215656
0.0041,-0.0746545195236
0.0042,-0.0746795991773
0.0043,-0.0747017144186
0.0044,-0.0747210704927
0.0045,-0.074737872927
0.0046,-0.0747523045156
0.0047,-0.0747645244209
0.0048,-0.0747747037742
0.0049,-0.0747829847898
0.005,-0.0747894958916
0.0051,-0.074794360832
0.0052,-0.0747976929595
0.0053,-0.0747995866118
0.0054,-0.0748001281245
0.0055,-0.0747994230543
0.0056,-0.0747975380173
0.0057,-0.0747945628627
0.0058,-0.0747905578453
0.0059,-0.0747855725886
0.006,-0.0747796933271
0.0061,-0.0747729675505
0.0062,-0.0747654463481
0.0063,-0.0747571796598
0.0064,-0.07474821435
0.0065,-0.0747385811291
0.0066,-0.074728317611
0.0067,-0.074717492932
0.0068,-0.0747061197601
0.0069,-0.0746942351456
0.007,-0.0746818577496
0.0071,-0.0746690423331
0.0072,-0.0746558060289
0.0073,-0.0746421699998
0.0074,-0.074628145202
0.0075,-0.0746137688685
0.0076,-0.074599082564
0.0077,-0.0745840899458
0.0078,-0.0745688038314
0.0079,-0.0745532623381
0.008,-0.0745374650363
0.0081,-0.0745214304229
0.0082,-0.0745052054532
0.0083,-0.0744887596075
0.0084,-0.0744721340122
0.0085,-0.0744553345376
0.0086,-0.0744383635265
0.0087,-0.07442123911
0.0088,-0.0744039795407
0.0089,-0.0743866091112
0.009,-0.0743691150045
0.0091,-0.0743515225115
0.0092,-0.0743338323543
0.0093,-0.0743160596293
0.0094,-0.0742982269708
0.0095,-0.0742803157851
0.0096,-0.0742623312606
0.0097,-0.0742443014824
0.0098,-0.0742262466142
0.0099,-0.0742081538833
0.01,-0.0741900238769
0.0101,-0.0741718733901
0.0102,-0.074153699059
0.0103,-0.0741355192382
0.0104,-0.074117346489
0.0105,-0.0740991687941
0.0106,-0.0740809778611
