time,soma
0       ,-60
0.010094,-60.1056
0.020188,-60.2103
0.044226,-60.4566
0.068264,-60.6992
0.092302,-60.9382
0.138752,-61.3914
0.185202,-61.8353
0.231652,-62.2715
0.278102,-62.7011
0.324552,-63.1246
0.371002,-63.5423
0.46279 ,-64.35
0.554578,-65.1291
0.646365,-65.8759
0.738153,-66.5869
0.881817,-67.62
1.02548 ,-68.5513
1.16915 ,-69.3809
1.31281 ,-70.1143
1.58347 ,-71.2662
1.85414 ,-72.1695
2.1248  ,-72.8801
2.39547 ,-73.4438
2.66613 ,-73.8952
2.93679 ,-74.26
3.20746 ,-74.5575
3.47812 ,-74.8023
3.74878 ,-75.0055
4.01945 ,-75.1754
4.29011 ,-75.3186
4.56078 ,-75.4402
4.83144 ,-75.5442
5.26996 ,-75.6832
5.70849 ,-75.7938
6.14701 ,-75.8829
6.58554 ,-75.9554
7.02406 ,-76.0148
7.46259 ,-76.0641
8.22204 ,-76.1314
8.98148 ,-76.1817
9.74093 ,-76.2196
10.5004 ,-76.2481
11.2598 ,-76.2696
12.0193 ,-76.2858
13.6751 ,-76.3084
15.331  ,-76.3193
16.9868 ,-76.3222
18.6427 ,-76.3189
20      ,-76.3133
20      ,-76.3133
20.0001 ,-76.2957
20.0002 ,-76.2822
20.0003 ,-76.2652
20.0004 ,-76.252
20.0008 ,-76.223
20.0012 ,-76.2002
20.0015 ,-76.1789
20.0019 ,-76.1582
20.0028 ,-76.1143
20.004  ,-76.0518
20.0053 ,-75.9953
20.0066 ,-75.9432
20.0079 ,-75.8947
20.0102 ,-75.816
20.0124 ,-75.744
20.0161 ,-75.6374
20.0198 ,-75.5407
20.026  ,-75.3958
20.0321 ,-75.2639
20.0382 ,-75.1413
20.0444 ,-75.026
20.0505 ,-74.9169
20.06   ,-74.7579
20.0696 ,-74.609
20.0791 ,-74.4682
20.0938 ,-74.2647
20.1084 ,-74.0747
20.1314 ,-73.7987
20.1661 ,-73.4219
20.2007 ,-73.0807
20.2353 ,-72.7671
20.2699 ,-72.4748
20.3045 ,-72.1991
20.3391 ,-71.9369
20.3737 ,-71.6861
20.4277 ,-71.3131
20.4818 ,-70.9581
20.5358 ,-70.6173
20.5898 ,-70.2878
20.6718 ,-69.8037
20.7538 ,-69.3342
20.8358 ,-68.8751
20.9179 ,-68.4236
20.9999 ,-67.9776
21.1365 ,-67.2416
21.2732 ,-66.5098
21.4098 ,-65.7776
21.5465 ,-65.041
21.6831 ,-64.2953
21.8982 ,-63.0904
22.1132 ,-61.8229
22.3282 ,-60.4526
22.5433 ,-58.9104
22.7583 ,-57.0694
22.883  ,-55.7779
23.0076 ,-54.2153
23.1323 ,-52.2215
23.2053 ,-50.7466
23.2783 ,-48.9235
23.3514 ,-46.5863
23.3968 ,-44.7571
23.4422 ,-42.5167
23.4877 ,-39.7093
23.5331 ,-36.103
23.5631 ,-33.1327
23.593  ,-29.5325
23.6229 ,-25.127
23.6528 ,-19.7051
23.6828 ,-13.0463
23.7015 ,-8.15508
23.7203 ,-2.70307
23.7391 ,3.25777
23.7578 ,9.59496
23.7766 ,16.0807
23.7954 ,22.4063
23.8075 ,26.2607
23.8197 ,29.8182
23.8319 ,33.0126
23.8441 ,35.8018
23.8563 ,38.1703
23.8684 ,40.1282
23.8806 ,41.7056
23.8928 ,42.9458
23.905  ,43.8977
23.9171 ,44.6103
23.9293 ,45.1288
23.9415 ,45.4921
23.9537 ,45.7328
23.9659 ,45.8766
23.978  ,45.9441
23.9902 ,45.9508
24.0024 ,45.9088
24.0146 ,45.8268
24.0267 ,45.7119
24.0389 ,45.569
24.0511 ,45.4019
24.0633 ,45.2135
24.0755 ,45.0059
24.0876 ,44.7809
24.0998 ,44.5397
24.112  ,44.2834
24.1242 ,44.0131
24.1363 ,43.7293
24.1485 ,43.4328
24.1607 ,43.1242
24.1729 ,42.8037
24.1851 ,42.4719
24.1972 ,42.1289
24.2094 ,41.775
24.2216 ,41.4105
24.2338 ,41.0355
24.2459 ,40.6503
24.2581 ,40.2551
24.2703 ,39.8503
24.2825 ,39.436
24.2947 ,39.0126
24.3068 ,38.5804
24.319  ,38.1396
24.3312 ,37.6904
24.3434 ,37.2333
24.3638 ,36.4506
24.3841 ,35.6471
24.4045 ,34.8241
24.4249 ,33.9826
24.4453 ,33.1237
24.4657 ,32.2486
24.499  ,30.7872
24.5323 ,29.2899
24.5656 ,27.7611
24.5989 ,26.2053
24.6322 ,24.6267
24.6948 ,21.6094
24.7574 ,18.5493
24.82   ,15.4676
24.8826 ,12.382
24.9452 ,9.30736
25.0078 ,6.25476
25.0705 ,3.2335
25.1331 ,0.250388
25.1957 ,-2.6901
25.2583 ,-5.58536
25.3209 ,-8.43425
25.3835 ,-11.237
25.4462 ,-13.9952
25.5088 ,-16.7115
25.6131 ,-21.1595
25.7175 ,-25.5328
25.7877 ,-28.4629
25.8579 ,-31.4127
25.9281 ,-34.411
25.9983 ,-37.499
26.0685 ,-40.7296
26.1388 ,-44.1674
26.209  ,-47.8689
26.2792 ,-51.8688
26.3208 ,-54.3696
26.3625 ,-56.9306
26.4042 ,-59.5089
26.4458 ,-62.0396
26.4875 ,-64.4407
26.5292 ,-66.6268
26.5708 ,-68.5318
26.6125 ,-70.1198
26.6542 ,-71.3904
26.6958 ,-72.3733
26.7375 ,-73.1143
26.7664 ,-73.5123
26.7952 ,-73.8328
26.8241 ,-74.0887
26.8529 ,-74.2916
26.8818 ,-74.4515
26.9106 ,-74.5766
26.9395 ,-74.6736
26.9683 ,-74.7477
26.9972 ,-74.8035
27.0261 ,-74.8445
27.0549 ,-74.8735
27.0838 ,-74.893
27.1126 ,-74.9048
27.1563 ,-74.9116
27.2    ,-74.9083
27.2437 ,-74.8979
27.2875 ,-74.8824
27.3312 ,-74.8632
27.3749 ,-74.8413
27.4186 ,-74.8176
27.4852 ,-74.7789
27.5519 ,-74.7379
27.6186 ,-74.6954
27.6852 ,-74.6516
27.7519 ,-74.6069
27.8874 ,-74.5135
28.0228 ,-74.4173
28.1583 ,-74.3185
28.2938 ,-74.2171
28.6015 ,-73.9772
28.9092 ,-73.7232
29.2169 ,-73.4557
29.5246 ,-73.174
29.8323 ,-72.8777
30.2956 ,-72.4042
30.759  ,-71.8966
31.2224 ,-71.3549
31.6857 ,-70.7802
32.1491 ,-70.174
32.6125 ,-69.5388
33.0758 ,-68.8774
33.5392 ,-68.1934
34.3183 ,-67.0034
35.0974 ,-65.7802
35.8765 ,-64.541
36.6556 ,-63.2959
37.4347 ,-62.0449
38.2138 ,-60.7652
38.9929 ,-59.4003
39.772  ,-57.8377
39.9668 ,-57.3806
40.1616 ,-56.8678
40.3563 ,-56.2895
40.5511 ,-55.6251
40.7459 ,-54.8338
40.9407 ,-53.8453
41.1354 ,-52.543
41.1841 ,-52.147
41.2328 ,-51.7114
41.2815 ,-51.2306
41.3836 ,-50.0364
